"station","latitude","longitude"
"30504099999",54.6,100.6333333
"71321099999",63.75,-68.55
"91555099999",-16.4166667,167.8
"72251812974",27.9,-98.05
"72026153976",33.17528,-97.82833
"72613014755",44.27018,-71.30336
"72417503802",39.29556,-80.22889
"99824899999",18.2166666,-67.15
"30636099999",53.6166666,109.6333333
"61291099999",12.533544,-7.949944
"47179099999",37.5,130.8666666
"67963099999",-20.3833333,28.5
"40608099999",36.305761,43.147397
"43233099999",14.2333333,76.4333333
"61296099999",11.4166667,-7.5
"17165099999",39.1166666,39.55
"47407099999",43.75,142.3666666
"93738099999",-43.7666666,170.1333333
"88903099999",-54.2833333,-36.5
"4183099999",66.3833333,-14.5333333
"70171900490",66.88808,-157.16241
"16743099999",36.274258,23.016978
"26326099999",57.3166666,24.4166666
"62405099999",25.671028,32.706583
"86134099999",-23.44175,-57.427122
"62425099999",22.585672,28.716642
"59663099999",21.8666666,111.9666666
"99408499999",59.74,-149.47
"72352803981",34.35307,-98.98762
"12836099999",47.65,18.3166666
"96751099999",-6.7,106.9333333
"78666099999",13.440947,-89.055728
"61641099999",14.739708,-17.490225
"15350099999",45.15,26.8166666
"72660304974",44.85694,-93.03278
"72578024156",42.9202,-112.5711
"30710099999",52.268028,104.388975
"72743794893",45.81833,-88.11444
"50888099999",46.3166666,132.1833333
"63741099999",-1.3,36.75
"72428014821",39.9907,-82.877
"97780099999",-3.9166667,136.3666667
"42220099999",28.1,95.3833333
"47674299999",37.293097,136.961853
"61849099999",7.7333333,-8.8333333
"56033099999",34.9166666,98.2166666
"84204099999",-2.15,-79.8833333
"71489099999",52.3666666,-108.8333333
"8487099999",36.843936,-2.370097
"11856099999",48.2833333,18.45
"93119099999",-37.008056,174.791667
"47840099999",33.685,131.040278
"16179099999",43.5166667,12.7333333
"57297099999",32.1333333,114.05
"94791099999",-30.3205556,153.1163889
"7139099999",48.45,0.1166667
"60379099999",36.7666666,3.3333333
"76225399999",28.702875,-105.964567
"11244099999",46.8666666,15.9
"71609099999",45.3166666,-65.8833333
"48053099999",20.8333333,95.8333333
"47766099999",34.2333333,132.55
"6041099999",57.7333333,10.6333333
"78322099999",22.7166666,-82.2833333
"72622564776",44.65,-73.46667
"15073099999",47.2166666,26.3833333
"47474099999",44.303914,143.404028
"71975099999",64.95,-63.58
"2563599999",56.2833333,12.8333333
"A0705300346",40.983,-122.694
"89002099999",-70.6666666,-8.25
"24871099999",61.8666666,135.5
"78734099999",13.0833333,-85.9833333
"16312099999",40.767833,16.933333
"40782499999",30.683,51.55
"72475023176",38.42251,-113.01089
"91186022534",21.1545,-157.0961
"2982099999",59.7666666,22.95
"72551214989",40.89417,-97.62583
"72586724133",42.5416,-113.7661
"99406599999",44.256,-83.443
"2243099999",63.6833333,16.95
"7217099999",47.312189,-2.149181
"84474099999",-7.1691,-76.728561
"66310099999",-12.609025,13.403711
"57866099999",26.2333333,111.6166666
"84075099999",-0.4,-76.6
"11212099999",46.6,13.6666666
"68297099999",-25.5166666,31.9
"47489099999",43.040967,144.192986
"72329003935",37.2252,-89.5705
"34273099999",50.95,46.9666666
"84761099999",-17.0333333,-72.0166667
"11182099999",47.8333333,16.2166666
"29759099999",54.3333333,89.2833333
"41507099999",34.8333333,71.8166666
"36665099999",47.467,84.917
"91601099999",3.0333333,172.7833333
